bash 4.4.012-1
coreutils 8.26-1
findutils 4.6.0-1
gawk 4.1.4-2
gcc-libs 6.3.0-1
git-extra 1.1.145.7d1d6ea-1
gmp 6.1.2-1
grep 3.0-1
heimdal-libs 1.5.3-9
libcrypt 1.4-1
libiconv 1.14-2
libintl 0.19.8.1-1
libopenssl 1.0.2.k-1
libpcre 8.40-2
libreadline 7.0.003-1
libsqlite 3.18.0.0-1
mingw-w64-i686-ca-certificates 20170211-2
mingw-w64-i686-curl 7.54.1-1
mingw-w64-i686-curl-winssl-bin 7.54.0-1
mingw-w64-i686-expat 2.2.1-1
mingw-w64-i686-gcc-libs 7.1.0-2
mingw-w64-i686-gettext 0.19.8.1-2
mingw-w64-i686-git 2.13.3.1.faaf2320f3-1
mingw-w64-i686-git-credential-manager 1.10.1-1
mingw-w64-i686-gmp 6.1.2-1
mingw-w64-i686-gnutls 3.5.14-1
mingw-w64-i686-jansson 2.10-1
mingw-w64-i686-libffi 3.2.1-4
mingw-w64-i686-libiconv 1.15-1
mingw-w64-i686-libidn 1.33-1
mingw-w64-i686-libmetalink 0.1.3-3
mingw-w64-i686-libssh2 1.8.0-1
mingw-w64-i686-libtasn1 4.12-1
mingw-w64-i686-libunistring 0.9.7-1
mingw-w64-i686-libwinpthread-git 5.0.0.4850.d1662dc7-1
mingw-w64-i686-mpc 1.0.3-2
mingw-w64-i686-mpfr 3.1.5.p1-1
mingw-w64-i686-nettle 3.3-1
mingw-w64-i686-nghttp2 1.23.1-1
mingw-w64-i686-openssl 1.0.2.l-1
mingw-w64-i686-p11-kit 0.23.7-1
mingw-w64-i686-pcre 8.41-1
mingw-w64-i686-rtmpdump-git r512.fa8646d-3
mingw-w64-i686-spdylay 1.4.0-1
mingw-w64-i686-zlib 1.2.11-1
mpfr 3.1.5.1-3
msys2-runtime 2.8.2-1
ncurses 6.0.20170527-1
openssh 7.5p1-1
openssl 1.0.2.k-1
sed 4.4-2
zlib 1.2.11-1
filesystem 2017.05-1
dash 0.5.9.1-1
rebase 4.4.2-1
